feature                   log-likelihood  sense        
Roberts                   4.01657         phone          
Jr                        4.01657         phone          
MCI                       4.01657         phone          
weekends                  4.01657         phone          
tentative                 4.01657         product        
base-price                4.01657         product        
%-to-                     4.01657         product        
caught                    4.01657         product        
clamor                    4.01657         product        
Although                  4.01657         product        
VAX                       4.01657         product        
enormously                4.01657         product        
explosive                 4.01657         product        
hooked                    4.01657         product        
pre-charge                4.01657         product        
weakness                  4.01657         product        
seafood                   4.01657         product        
hefty                     4.01657         product        
introductory              4.01657         product        
Green                     4.01657         product        
Giant                     4.01657         product        
vegetable                 4.01657         product        
Cray                      4.01657         product        
noted                     4.01657         product        
supercomputers            4.01657         product        
"so                       4.01657         product        
sense                     4.01657         product        
receiving                 4.01657         product        
Minneapolis-based         4.01657         product        
Control                   4.01657         product        
arrangements              4.01657         product        
dilute                    4.01657         product        
toes                      4.01657         product        
giant                     4.01657         product        
willing                   4.01657         product        
reflects                  4.01657         product        
attempt                   4.01657         product        
Guba                      4.01657         phone          
On                        4.01657         phone          
played                    4.01657         phone          
trial                     4.01657         phone          
sitter                    4.01657         phone          
begging                   4.01657         phone          
ambulance                 4.01657         phone          
sticking                  4.01657         product        
sidelines                 4.01657         product        
institutions              4.01657         product        
lookout                   4.01657         product        
reasonably                4.01657         product        
Bull                      4.01657         product        
HN                        4.01657         product        
%-owned                   4.01657         product        
Groupe                    4.01657         product        
DPX/                      4.01657         product        
Unix                      4.01657         product        
DPS                       4.01657         product        
significantly             4.01657         product        
master                    4.01657         product        
famous                    4.01657         product        
cigarette                 4.01657         product        
smokes                    4.01657         product        
lights                    4.01657         product        
menthols                  4.01657         product        
kings                     4.01657         product        
slims                     4.01657         product        
succeeds                  4.01657         product        
host                      4.01657         product        
huge                      4.01657         product        
variations                4.01657         product        
theme                     4.01657         product        
"Consolidated             4.01657         phone          
anticipated               4.01657         phone          
nonrecurring              4.01657         phone          
legal                     4.01657         phone          
projections               4.01657         phone          
nine                      4.01657         phone          
Keeping                   4.01657         phone          
crawling                  4.01657         phone          
floor                     4.01657         phone          
nothing                   4.01657         phone          
Coca-Cola                 4.01657         product        
"umbrella                 4.01657         product        
permutations              4.01657         product        
Classic                   4.01657         product        
Diet                      4.01657         product        
Cherry                    4.01657         product        
Coke                      4.01657         product        
type                      4.01657         product        
Hartmarx                  4.01657         product        
styles                    4.01657         product        
Hart                      4.01657         product        
Schaffner                 4.01657         product        
Marx                      4.01657         product        
repackaged                4.01657         product        
historically              4.01657         product        
crackle                   4.01657         phone          
chuckle                   4.01657         phone          
devices                   4.01657         product        
basically                 4.01657         product        
modify                    4.01657         product        
escape                    4.01657         product        
tough                     4.01657         product        
intends                   4.01657         product        
"long-term                4.01657         product        
profitability             4.01657         product        
Regency                   4.01657         product        
scanners                  4.01657         product        
marine                    4.01657         product        
radios                    4.01657         product        
board                     4.01657         phone          
voted                     4.01657         phone          
subscriber-               4.01657         phone          
spirit                    4.01657         product        
costume                   4.01657         product        
parties                   4.01657         product        
evolved                   4.01657         product        
tonic                     4.01657         product        
bored                     4.01657         product        
yuppies                   4.01657         product        
Adult                     4.01657         product        
Halloween                 4.01657         product        
ballooned                 4.01657         product        
Cards                     4.01657         product        
gifts                     4.01657         product        
novelties                 4.01657         product        
Funds                     4.01657         product        
earmarked                 4.01657         product        
load                      4.01657         product        
obligations               4.01657         product        
optometric                4.01657         product        
garner                    4.01657         product        
aims                      4.01657         product        
mature                    4.01657         product        
ground-coffee             4.01657         product        
Wait                      4.01657         phone          
O                         4.01657         phone          
Dwyer                     4.01657         phone          
Sarah                     4.01657         phone          
progenitor                4.01657         product        
breed                     4.01657         product        
Nike                      4.01657         product        
Revolution                4.01657         product        
television                4.01657         product        
ads                       4.01657         product        
set                       4.01657         product        
Beatles                   4.01657         product        
"Revolution"              4.01657         product        
print                     4.01657         product        
promising                 4.01657         product        
improved                  4.01657         product        
rivals                    4.01657         product        
Energy                    4.01657         product        
Wave                      4.01657         product        
Converse                  4.01657         product        
Interco                   4.01657         product        
Trainer                   4.01657         product        
"Energy                   4.01657         product        
Return                    4.01657         product        
Reebok;                   4.01657         product        
Etonic                    4.01657         product        
"Dynamic                  4.01657         product        
Reaction                  4.01657         product        
Plate                     4.01657         product        
testimony                 4.01657         product        
racing                    4.01657         product        
conservativism            4.01657         product        
innovations               4.01657         product        
drawing                   4.01657         product        
cheers                    4.01657         product        
touch                     4.01657         product        
horses                    4.01657         product        
skins                     4.01657         product        
hoofs                     4.01657         product        
jockey                    4.01657         product        
silks                     4.01657         product        
Aeroform                  4.01657         product        
Rhonda                    4.01657         product        
Allen                     4.01657         product        
sculptor                  4.01657         product        
owns                      4.01657         product        
Interactive               4.01657         phone          
worked                    4.01657         phone          
Paramount                 4.01657         phone          
Lucasfilm                 4.01657         phone          
blocking                  4.01657         phone          
abuse                     4.01657         phone          
McPherson                 4.01657         phone          
negotiator                4.01657         phone          
Warnke                    4.01657         phone          
remember                  4.01657         phone          
Johnson                   4.01657         phone          
Pentagon                  4.01657         phone          
realizing                 4.01657         phone          
Carl                      4.01657         phone          
Warnecke                  4.01657         phone          
Inside                    4.01657         phone          
dark                      4.01657         phone          
tent                      4.01657         phone          
Kayitan                   4.01657         phone          
Kavas                     4.01657         phone          
county                    4.01657         phone          
commissioner              4.01657         phone          
shouts                    4.01657         phone          
promises                  4.01657         phone          
blankets                  4.01657         phone          
Tompkins                  4.01657         product        
Esprit                    4.01657         product        
fast                      4.01657         product        
reorient                  4.01657         product        
"Expansion                4.01657         product        
{product}                 4.01657         product        
Volkswagen                4.01657         product        
Troy                      4.01657         product        
Mich                      4.01657         product        
suggested                 4.01657         product        
entry-level               4.01657         product        
Dinner                    4.01657         product        
Supreme                   4.01657         product        
Lean                      4.01657         product        
Cuisine                   4.01657         product        
low-calorie               4.01657         product        
this?                     4.01657         phone          
(a                        4.01657         phone          
voice)                    4.01657         phone          
chat                      4.01657         phone          
line?                     4.01657         phone          
form                      4.01657         phone          
picture                   4.01657         phone          
meetings                  4.01657         phone          
cumbersome                4.01657         phone          
Electric                  4.01657         phone          
begun                     4.01657         phone          
VisiTel                   4.01657         phone          
accessory                 4.01657         phone          
pictures                  4.01657         phone          
sits                      4.01657         phone          
front                     4.01657         phone          
presses                   4.01657         phone          
button                    4.01657         phone          
seconds                   4.01657         phone          
Atlantic                  4.01657         phone          
mid-Atlantic              4.01657         phone          
region                    4.01657         phone          
Wilkens                   4.01657         phone          
congressional             4.01657         phone          
committee                 4.01657         phone          
worry                     4.01657         phone          
unauthorized              4.01657         phone          
Ezoe                      4.01657         phone          
diversify                 4.01657         phone          
Recruit                   4.01657         phone          
renting                   4.01657         phone          
tie                       4.01657         phone          
discovered                4.01657         phone          
fanfare                   4.01657         product        
Silverlake                4.01657         product        
unglamorous               4.01657         product        
sturdy                    4.01657         product        
X                         4.01657         product        
best-selling              4.01657         product        
families                  4.01657         product        
Besides                   4.01657         product        
All                       4.01657         product        
Gourmet                   4.01657         product        
lasagna                   4.01657         product        
meat                      4.01657         product        
dishes                    4.01657         product        
Critics                   4.01657         phone          
manipulators              4.01657         phone          
Oddly                     4.01657         phone          
departments               4.01657         phone          
McMillin                  4.01657         product        
Hormel                    4.01657         product        
times                     4.01657         product        
multiple                  4.01657         product        
high-multiple             4.01657         product        
bet                       4.01657         product        
future                    4.01657         product        
carries                   4.01657         product        
profusion                 4.01657         product        
Basically                 4.01657         phone          
eliminated                4.01657         phone          
converting                4.01657         phone          
pulses                    4.01657         phone          
sending                   4.01657         phone          
transmitted               4.01657         phone          
Broadway                  4.01657         product        
Jeep/Eagle                4.01657         product        
Denver                    4.01657         product        
Colo                      4.01657         product        
Jeeps                     4.01657         product        
anymore                   4.01657         product        
laments                   4.01657         product        
Steve                     4.01657         product        
Segal                     4.01657         product        
dealership                4.01657         product        
Chanel                    4.01657         product        
Journal                   4.01657         product        
Consultants               4.01657         product        
beauty-products           4.01657         product        
Estee                     4.01657         product        
Lauder                    4.01657         product        
Cosmair                   4.01657         product        
Lancome                   4.01657         product        
archrival                 4.01657         product        
media                     4.01657         product        
Atlanta-based             4.01657         phone          
renamed                   4.01657         phone          
Integrated                3.92505         phone          
Services                  3.92505         phone          
quarterback               3.92505         phone          
sack                      3.92505         phone          
etc                       3.92505         phone          
Profit                    3.92505         phone          
phones                    3.92505         phone          
gab                       3.92505         phone          
Davis                     3.92505         phone          
GTE                       3.92505         phone          
Stamford                  3.92505         phone          
Conn                      3.92505         phone          
federally                 3.92505         phone          
managed                   3.92505         phone          
tape                      3.92505         phone          
remote                    3.92505         phone          
site                      3.92505         phone          
sanctimonious             3.92505         phone          
Gamboni                   3.92505         phone          
rent                      3.92505         phone          
referred                  3.92505         phone          
Dominick                  3.92505         phone          
contact                   3.92505         phone          
long-range                3.92505         phone          
modernize                 3.92505         phone          
services                  3.92505         phone          
surged                    3.92505         phone          
William                   3.92505         phone          
Weiss                     3.92505         phone          
Ameritech                 3.92505         phone          
jump                      3.92505         phone          
installed                 3.92505         phone          
manufacturers             3.92505         product        
local                     3.92505         phone          
vie                       3.92505         phone          
Southern                  3.92505         phone          
non-office                3.92505         phone          
Led                       3.92505         product        
brands                    3.92505         product        
Old                       3.92505         product        
El                        3.92505         product        
Paso                      3.92505         product        
Mexican                   3.92505         product        
foods                     3.92505         product        
Progesso                  3.92505         product        
soups                     3.92505         product        
Whitman                   3.92505         product        
candies                   3.92505         product        
Pet                       3.92505         product        
breakup                   3.92505         product        
conversations             3.92505         phone          
whenever                  3.92505         phone          
lag                       3.92505         phone          
monitor                   3.92505         phone          
Megaquest                 3.92505         phone          
bisexual                  3.92505         phone          
merits                    3.92505         phone          
Lambert                   3.92505         phone          
disconnected              3.92505         phone          
Neither                   3.92505         phone          
practical                 3.92505         phone          
Seaq                      3.92505         phone          
Nash                      3.92505         phone          
East                      3.92505         phone          
Coasts                    3.92505         phone          
WordPerfect               3.92505         phone          
Utah                      3.92505         phone          
When                      3.92505         phone          
complain                  3.92505         phone          
answering                 3.92505         phone          
questions                 3.92505         phone          
provides                  3.92505         phone          
Coleco                    3.92505         product        
introduce                 3.92505         product        
miniature                 3.92505         product        
dolls                     3.92505         product        
magnets                   3.92505         product        
feet                      3.92505         product        
Meanwhile                 3.92505         phone          
avoid                     3.92505         phone          
issues                    3.92505         phone          
excuse                    3.92505         phone          
Inspecteur                3.92505         phone          
Sluggish                  3.92505         product        
Beretta                   3.92505         product        
four-door                 3.92505         product        
ask                       3.92505         phone          
liked                     3.92505         phone          
Charles                   3.92505         phone          
Russell                   3.92505         phone          
mind                      3.92505         phone          
Los                       3.92505         phone          
Angeles                   3.92505         phone          
overloaded                3.92505         phone          
hours                     3.92505         phone          
following                 3.92505         phone          
chutes                    3.92505         phone          
Someone                   3.92505         phone          
Force                     3.92505         phone          
view                      3.92505         phone          
combination               3.92505         phone          
transmit                  3.92505         phone          
signals                   3.92505         phone          
coordinated               3.92505         phone          
managers                  3.92505         phone          
subscribers               3.92505         phone          
multiline                 3.92505         phone          
installation              3.92505         phone          
maximum                   3.92505         phone          
financed                  3.92505         phone          
distressed                3.92505         phone          
waved                     3.92505         phone          
counterparts              3.92505         phone          
provide:                  3.92505         phone          
"gab"                     3.92505         phone          
dozens                    3.92505         phone          
dial                      3.92505         phone          
converse                  3.92505         phone          
language                  3.92505         phone          
off-color                 3.92505         phone          
strikes                   3.92505         phone          
fancy;                    3.92505         phone          
one-on-one                3.92505         phone          
talking;                  3.92505         phone          
prerecorded               3.92505         phone          
sex                       3.92505         phone          
chatter                   3.92505         phone          
Glenview                  3.92505         product        
Ill                       3.92505         product        
disaster                  3.92505         phone          
relief                    3.92505         phone          
temporary                 3.92505         phone          
emergency                 3.92505         phone          
approaches                3.92505         phone          
soap-opera                3.92505         phone          
trivia                    3.92505         phone          
contest                   3.92505         phone          
"Soap                     3.92505         phone          
Talk                      3.92505         phone          
Chrysler                  3.92505         product        
loser                     3.92505         product        
Big                       3.92505         product        
officers                  3.92505         phone          
deposits                  3.92505         phone          
advertise                 3.92505         phone          
deposit                   3.92505         phone          
newspapers                3.92505         phone          
conduct                   3.92505         phone          
transactions              3.92505         phone          
mail                      3.92505         phone          
wire                      3.92505         phone          
automated-teller          3.92505         phone          
shared                    3.92505         phone          
currencies                3.92505         phone          
FCC                       3.92505         phone          
effort                    3.92505         phone          
shift                     3.92505         phone          
carriers                  3.92505         phone          
monopoly                  3.92505         phone          
separation                3.92505         phone          
"If                       3.92505         product        
kept                      3.92505         product        
changing                  3.92505         product        
directions                3.92505         product        
questioning               3.92505         product        
composite                 3.92505         phone          
Stock                     3.92505         phone          
Exchange                  3.92505         phone          
transaction               3.92505         phone          
Enterprise                3.92505         phone          
Harrisburg                3.92505         phone          
Philadelphia              3.92505         phone          
needs                     3.92505         phone          
punch                     3.92505         phone          
("Press                   3.92505         phone          
sponsor                   3.92505         phone          
coupons                   3.92505         phone          
newsletter                3.92505         phone          
mailed                    3.92505         phone          
able                      3.92505         phone          
gather                    3.92505         phone          
desirable                 3.92505         phone          
switchboard               3.92505         phone          
connect                   3.92505         phone          
secretary                 3.92505         phone          
later                     3.92505         phone          
Elsie                     3.92505         phone          
Nakasone                  3.92505         phone          
meanwhile                 3.92505         phone          
retains                   3.92505         phone          
popularity                3.92505         phone          
directed                  3.92505         phone          
NBC                       3.92505         phone          
live                      3.92505         phone          
organized                 3.92505         phone          
measures                  3.92505         phone          
organizers                3.92505         phone          
forming                   3.92505         phone          
clearing                  3.92505         phone          
unions                    3.92505         phone          
swap                      3.92505         phone          
stepping                  3.92505         phone          
recruitment               3.92505         phone          
advertising               3.92505         phone          
publicizing               3.92505         phone          
instances                 3.92505         phone          
labor                     3.92505         phone          
"union-busting"           3.92505         phone          
relies                    3.92505         product        
packaging                 3.92505         product        
frequently                3.92505         product        
microwave                 3.92505         product        
pizza                     3.92505         product        
crispy                    3.92505         product        
Campbell                  3.92505         product        
breakfasts                3.92505         product        
Swanson                   3.92505         product        
Starts                    3.92505         product        
Telefonica                3.92505         phone          
Nacional                  3.92505         phone          
equivalent                3.92505         phone          
year;                     3.92505         phone          
Spain                     3.92505         phone          
ninth-largest             3.92505         phone          
"was                      3.92505         product        
significant"              3.92505         product        
Polaroid                  3.92505         product        
dramatic                  3.92505         phone          
Sherer                    3.92505         phone          
Robertson                 3.92505         phone          
Colman                    3.92505         phone          
Stephens                  3.92505         phone          
San                       3.92505         phone          
Francisco                 3.92505         phone          
Equatorial                3.92505         phone          
niche                     3.92505         phone          
sole                      3.92505         phone          
supplier                  3.92505         phone          
low-speed                 3.92505         phone          
satellite                 3.92505         phone          
depend                    3.92505         phone          
upon                      3.92505         phone          
experimental              3.92505         phone          
favorable                 3.92505         product        
reaction                  3.92505         product        
alligator                 3.92505         product        
decided                   3.92505         product        
plaster                   3.92505         product        
Francisco-based           3.92505         phone          
local-long                3.92505         phone          
distance                  3.92505         phone          
trader                    3.92505         phone          
merely                    3.92505         phone          
instructions              3.92505         phone          
client                    3.92505         phone          
Fed                       3.92505         phone          
bus                       3.92505         product        
marking                   3.92505         product        
Separately                3.92505         product        
Tower                     3.92505         product        
Motorola                  3.92505         product        
Renault                   3.92505         product        
lacks                     3.92505         product        
up-market                 3.92505         product        
presence                  3.92505         product        
Volvo                     3.92505         product        
EC                        3.92505         product        
Atlanta                   3.92505         phone          
tickets                   3.92505         phone          
Edmonton                  3.92505         phone          
jammed                    3.92505         phone          
disgruntled               3.92505         phone          
steaming                  3.92505         phone          
defection                 3.92505         phone          
insiders                  3.92505         phone          
Adams                     3.92505         phone          
combine                   3.92505         phone          
transmissions             3.92505         phone          
quadrupled                3.92505         phone          
Barbara                   3.92505         phone          
Agte                      3.92505         phone          
Allison                   3.92505         phone          
closest                   3.92505         phone          
friend                    3.92505         phone          
faculty                   3.92505         phone          
responsibility            3.92505         phone          
informing                 3.92505         phone          
Krauses                   3.92505         phone          
Kent                      3.92505         phone          
Her                       3.92505         phone          
question:                 3.92505         phone          
How                       3.92505         phone          
refund                    3.92505         phone          
check?                    3.92505         phone          
girl                      3.92505         phone          
ran                       3.92505         phone          
bill                      3.92505         phone          
dialing                   3.92505         phone          
toll-call                 3.92505         phone          
routed                    3.92505         phone          
ways                      3.92505         phone          
propose                   3.92505         phone          
flat-rate                 3.92505         phone          
fee                       3.92505         phone          
inadequate                3.92505         phone          
accounting                3.92505         product        
brokerage                 3.92505         phone          
maybe                     3.92505         phone          
fellow                    3.92505         phone          
Taurus                    3.92505         product        
Sable                     3.92505         product        
driven                    3.92505         product        
triumphantly              3.92505         product        
rear-wheel-drive          3.92505         product        
rebels                    3.92505         phone          
apparently                3.92505         phone          
seized                    3.92505         phone          
attempted                 3.92505         phone          
vain                      3.92505         phone          
determine                 3.92505         phone          
Gen                       3.92505         phone          
Noriega                   3.92505         phone          
outgoing                  3.92505         phone          
interrupted               3.92505         phone          
chastised                 3.92505         phone          
ordered                   3.92505         phone          
free                      3.92505         phone          
-month                    3.92505         phone          
relating                  3.92505         phone          
elimination               3.92505         phone          
Silver                    3.92505         phone          
Pages                     3.92505         phone          
expenditures              3.92505         phone          
fault                     3.92505         phone          
chastened                 3.92505         phone          
Griscom                   3.92505         phone          
Generations               3.92505         phone          
confess                   3.92505         phone          
attachment                3.92505         phone          
disembodied               3.92505         phone          
voices                    3.92505         phone          
favors                    3.92505         phone          
wake-up                   3.92505         phone          
staffers                  3.92505         phone          
trips                     3.92505         phone          
learn                     3.92505         phone          
Morgan                    3.92505         phone          
Stanley                   3.92505         phone          
decision                  3.92505         phone          
rescind                   3.92505         phone          
EDT                       3.92505         phone          
"He                       3.92505         phone          
d                         3.92505         phone          
explanation               3.92505         phone          
morning                   3.92505         phone          
Bill                      3.92505         phone          
Sinclair                  3.92505         phone          
does                      3.92505         phone          
raunchy                   3.92505         phone          
jukeboxes                 3.92505         phone          
Cincinnati                3.92505         phone          
running                   3.92505         phone          
stunned                   3.92505         phone          
double                    3.92505         phone          
DAF                       3.92505         product        
Trucks                    3.92505         product        
NV                        3.92505         product        
preliminary               3.92505         product        
manufacture               3.92505         product        
Szemzo                    3.92505         phone          
lawmakers                 3.92505         phone          
finding                   3.92505         phone          
writing                   3.92505         phone          
dial-it                   3.92505         phone          
regulations               3.92505         phone          
stand                     3.92505         phone          
scrutiny                  3.92505         phone          
nailing                   3.92505         phone          
Jell-O                    3.92505         phone          
Phone                     3.92505         phone          
regulated                 3.92505         phone          
simply                    3.92505         phone          
stop                      3.92505         phone          
deem                      3.92505         phone          
offensive                 3.92505         phone          
quit                      3.92505         phone          
billing                   3.92505         phone          
arguing                   3.92505         phone          
authorizing               3.92505         phone          
covered                   3.92505         phone          
taped                     3.92505         phone          
Oliver                    3.92505         phone          
Naquin                    3.92505         phone          
quiet                     3.92505         phone          
elation                   3.92505         phone          
Hello                     3.92505         phone          
Wilkie                    3.92505         phone          
Wilkin                    3.92505         phone          
respond                   3.92505         phone          
Sculpin                   3.92505         phone          
ocean                     3.92505         phone          
swell                     3.92505         phone          
depressed                 3.92505         phone          
patch                     3.92505         phone          
hardscrabble              3.92505         phone          
Depression:               3.92505         phone          
actual                    3.92505         phone          
reduction                 3.92505         phone          
initial                   3.92505         product        
specialty-food            3.92505         product        
lacked                    3.92505         phone          
effectiveness             3.92505         phone          
German                    3.92505         phone          
Bundesbank                3.92505         phone          
Japan                     3.92505         phone          
"when                     3.92505         phone          
Between                   3.92505         product        
Translation               3.92505         product        
Molinari                  3.92505         product        
designing                 3.92505         product        
Sex                       3.92505         phone          
seduction                 3.92505         phone          
sure-fire                 3.92505         phone          
story                     3.92505         phone          
stuff                     3.92505         phone          
Get                       3.92505         phone          
hell                      3.92505         phone          
celebrities               3.92505         product        
announcements             3.92505         product        
secret                    3.92505         product        
Actress                   3.92505         product        
Kathleen                  3.92505         product        
read                      3.92505         product        
Fab                       3.92505         product        
laundry                   3.92505         product        
detergent                 3.92505         product        
specified                 3.92505         product        
identity                  3.92505         product        
confidential              3.92505         product        
Alfin                     3.92505         product        
stopped                   3.92505         product        
pretax                    3.92505         product        
write-off                 3.92505         product        
third-quarter             3.92505         product        
reserve                   3.92505         product        
Ma                        3.92505         phone          
interstate                3.92505         phone          
tariffs                   3.92505         phone          
portion                   3.92505         phone          
Type                      3.92505         phone          
represented               3.92505         phone          
walked                    3.92505         phone          
straight                  3.92505         phone          
booth                     3.92505         phone          
Would                     3.92505         phone          
venture                   3.92505         product        
mass                      3.92505         product        
cosmetic                  3.92505         product        
Noxell                    3.92505         product        
Cover                     3.92505         product        
Girl                      3.92505         product        
Clarion                   3.92505         product        
followed                  3.92505         product        
Maybelline                3.92505         product        
MAN                       3.92505         product        
Hoesch                    3.92505         product        
respectively              3.92505         product        
Kloeckner                 3.92505         product        
